"count_code"	"postal_code"	"place_name"	"admin_name1"	"admin_code1"	"admin_name2"	"admin_code2"	"admin_name3"	"admin_code3"	"lattitude"	"longitude"	"accuracy"
"99"	"US"	37235	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"100"	"US"	37236	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"101"	"US"	37238	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"102"	"US"	37240	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"103"	"US"	37241	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"104"	"US"	37242	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"105"	"US"	37243	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.165	-86.7821	4
"106"	"US"	37244	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"107"	"US"	37246	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1586	-86.79	4
"108"	"US"	37250	"Nashville"	"Tennessee"	"TN"	"Davidson"	37	NA	NA	36.1866	-86.7852	4
"109"	"US"	36048	"Louisville"	"Alabama"	"AL"	"Barbour"	5	NA	NA	31.7943	-85.5581	4
"110"	"US"	80027	"Louisville"	"Colorado"	"CO"	"Boulder"	13	NA	NA	39.9789	-105.1456	4
"111"	"US"	30434	"Louisville"	"Georgia"	"GA"	"Jefferson"	163	NA	NA	33.0163	-82.3836	4
"112"	"US"	62858	"Louisville"	"Illinois"	"IL"	"Clay"	25	NA	NA	38.7718	-88.5065	4
"113"	"US"	40201	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.6768	4
"114"	"US"	40202	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2507	-85.7476	4
"115"	"US"	40203	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2493	-85.7694	4
"116"	"US"	40204	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2369	-85.7249	4
"117"	"US"	40205	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2222	-85.6885	4
"118"	"US"	40206	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2503	-85.7034	4
"119"	"US"	40207	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2628	-85.6663	4
"120"	"US"	40208	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.22	-85.7648	4
"121"	"US"	40209	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1901	-85.7519	4
"122"	"US"	40210	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2306	-85.7905	4
"123"	"US"	40211	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.242	-85.8127	4
"124"	"US"	40212	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2651	-85.8045	4
"125"	"US"	40213	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1839	-85.7106	4
"126"	"US"	40214	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1593	-85.778	4
"127"	"US"	40215	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1913	-85.7847	4
"128"	"US"	40216	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.1865	-85.8335	4
"129"	"US"	40217	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.2174	-85.7404	4
"130"	"US"	40218	"Louisville"	"Kentucky"	"KY"	"Jefferson"	111	NA	NA	38.189	-85.654	4
